a surprising thing|jambo la ajabu
The President offers charity to poor people|Rais alitowa sadaka kwa maskini
religious offering was taken to the Mosque|sadaka ilipelekwa msikitini
let us go and offer sacrifice at the place where offerings are made to the ancestors|Twende tukatoe sadaka mzimuni
The teacher corrected the student in the classroom|Mwalimu alimsadifu mwanafunzi darasani
(s)he was ready to believe that that grief was useless|alikuwa ni tayari kusadiki kwamba majonzi yale yalikuwa ni ya bure [Ya]
the judge trusted the thief|hakimu alimsadiki mwizi
a dependable worker|mfanyakazi msadikifu
the old man (elder) Ali is a trustworthy person|Mzee Ali ni mtu msadikifu
his information is believable|maneno yake yanaweza kusadikika
we confirmed that the woman will arrive tommorrow.|tulisadikisha kwamba mama atafika kesho
the old man Ali was convinced that these children are the ones who stole his money|mzee Ali alisadikisha kuwa hawa watoto ndio waliiba pesa zake
the preached was believed a lot by the faithfuls|Mhubiri alisadikiwa sana na wafuasi wake
the old man was tired after one wavelength of the journey|Mzee alichoka baada ya safa moja ya safari
her airplane departure is this morning at 8:15|safari ya ndege yake ni leo asubuhi saa mbili na robo
Mansuri returned to his business journeys|Mansuri alirejea katika safari zake za kibiashara [Sul]
I will not speak with him this moment|safari hii sitasema naye.
last time|safari iliyopita
on this trip we shall visit East Africa|safari hii tutazuru Afrika ya Mashariki
his house was clean|nyumba yake ilikuwa safi
<a href="http://www.npr.org/templates/rundowns/rundown.php?prgId=13" target="_blank">fresh air</a>|hewa safi
speak good/ pure Swahili|sema Kiswahili safi
clean the cup|safisha kikombe
she decorated her house in an orderly manner|aliipamba nyumba yake kwa kusafidika
an unjust person is an impudent person|Mtu mjeuri ni safihi
a lout person|mtu safihi
(s)he abuses children|Yeye anasafihi watoto
the child abused his/her mother|Mtoto alimsafihi mama yake
this is a boor child in front of her parents|Huyu ni mtoto safii mbele ya wazazi wake
an imprudent person|mtu safii
Biti Kocho recitified Maksuudi with impertinence|Biti Kocho alimsafii Maksuudi [Moh]
the boat reached the port|Safini ilifika bandarini
Today we shall travel early|Leo tutasafiri mapema
the ship will transport the goods to the port|Meli itasafirisha bidhaa bandarini
the mother (woman) will transport the children to their grandparents|Mama atasafirisha watoto kwa nyanya yao
a line of people|safu ya watu
a row of people|safu ya watu
series of trees|safu ya milima.
pale|safura a safura
palid|safura a safura
lack of blood is anemia|Ukosefu wa damu ni safura
I pounded and sieved them and the rest I ground into coral rags|miye niliyetwanga nikachunga na vingine nikasaga tumbawe... [Abd], akiyaswaga [majani] kwa miguu [Kez]
Maua milled maize at the|Maua alisaga mahindi mtamboni
pulverize the teeth|saga meno
women can have lesbian sex with one another|Wanawake wanaweza kusagana
ginger is groundable|Tangawizi inasagika
the rain facilitated the drought|Mvua ilisahalisha ukamwe
a tray with a pot of tea and a plate of bread|sinia yenye buli la chai na sahani ya mikate [Sul]
porcelain plates|sahani za kaule
the old man had a lapse of memory, he did not take his medicine|mzee alikuwa na sahau, hakumeza dawa zake
forgetting is not remembering|kusahau si kukumbuka
drunkenness caused him to forget to take his medicine|ulevi ulimsahaulisha kumeza dawa
Sahib is a good friend|Sahib ni rafiki mzuri
Sahibu is a good friend|Sahibu ni rafiki mzuri
the talk of the old man is very genuine|Mazungumzo ya mzee ni sahihi kabisa
a black mark on the thumb is the sign of a cook|alama nyeusi ya dole gumba, sahihi ya mpishi [Ya]
the teacher corrected the work of the students|Mwalimu alisahihisha kazi za wanafunzi
the old man validated the history of your family|Mzee alisahihisha historia ya jamii yako
the students made a correction of their mistakes|Wanafunzi walifanya sahihisho la kosa lao
the revision of this book was done by our teacher|Sahihisho ya hiki kitabu ilifanyiwa na mwalimu wetu
the Pope assisted poor people|Pope alisaidia watu maskini
I will be able to <b>help</b> you when you are carrying many things.|Nitaweza kuku<b>saidia</b> wakati utakuwa utabeba vitu vingi.
the farmers assisted each other in their farm work|Wakulima walisaidiana katika kazi za shamba
the villagers helped one another with the government to curb crime|Watu wa kijiji walisaidiana na serikali kukomesha uhalifu
the student was aided to pay school fees|Mwanafunzi alisadiwa kulipa ada za shule
the patient was assisted to walk|Mgonjwa alisaidiwa kutembea
father asked mother a question|Baba alimsaili mama swali
the thief was examined by the police|Mwivi alisailiwa na polisi
all the workers who were called to be asked by mrs.  Tamima looked at each other|watumishi wote walioitwa kusailiwa na Bi Tamima walitazamana [Moh]
put a mark|tia/weka saini.
put a sign|tia/weka saini.
put a signature|tia/weka saini.
The driver did not give a turn signal|dereva hakutoa saiti
the size of his/her shoes is size eight|Yeye anavaa viatu saizi nane
the cat caught the rat|paka alimsaka panya
we have searched for him/her in every corner|tumemsaka kila kipembe [Moh]
to sing and to have songs sang for, to play the children's game|kuimba na kuimbiwa nyimbo, kucheza saka-mke-wangu [Moh]
the floor of the house broke after an earth tremor|Sakafu ya nyumba ilivunjika baada ya mteremko wa ardhi
a clay/stone roofed building|nyumba ya sakafu
the fish trap caught it at the throat|mwiba wa samaki umemsakama kooni.
the fish trap stuck it at the throat|mwiba wa samaki umemsakama kooni.
In the wedding parade, Hamisi beat the drum well|Kwenye gwaride la harusi, Hamisi alisakata ngoma vizuri
the car moved slowly in the mud|Gari lilisaki polepole katika matope
hunger is pressing|njaa inasaki
hunger is squeezing|njaa inasaki
hunger is tight|njaa inasaki
Lord's prayer|sala ya Bwana.
mother made salad for lunch|Mama alitengeneza saladi kwa chakula cha mchana
it is not good to express surprise on somebody|Sivizuri kumpigia salala mtu
Salala!  dangerous!  Subira crushed the teeth|Salala!  Hatari!  Subira alibana meno [Sul]
God forbid!  dangerous!  Subira crushed the teeth|Salala!  Hatari!  Subira alibana meno [Sul]
John bought meat to make soup|John alinunua salala kutengeneza mchuzi
this neighborhood is secure|mtaa huu kuna salama
favorable outcome|mwisho salama
we are now living safely after the thief was arrested|Tunaishi kwa salama sasa baada ya mwivi kushikwa
they were listening to him/her as (s)he quivered and prayed for his/her good health|wakimsikiliza akipaparika na kumwombea salama [Moh]
good peace|salama njema
security of the people|salama ya watu
she gave birth safe and sound|kishajifungua salama usalimini [Moh]
after the greetings, the girl asked the teacher about 'that thing'|msichana baada ya salamu akamwuliza mwalimu kuhusu 'kile kitu' [Muk]
the convicts were bound with anchorchain|Wafungwa walifungwa na salasila
(s)he started praying slowly by slowly|alianza kusali kimya kimya [Kez]
"send him," Tamima prayed for|'Mtumeeee,' alisalia Tamima [Moh]
muslims stay for a corpse in the mosque|waislamu husaliwa maiti msikitini
there is a big German building that has remained up to now|kuna jengo kubwa la Wajerumani lililosalia mpaka sasa [Kez]
Juma does not tell lies, he is an honest person|Juma hasemi uongo, ni mtu salihi
His name is Salim|Jina lake ni Salim
Ali congratulated his grandfather|Ali alimsalimia babu yake
Greet the parents|Salimie wazazi
the visitors greeted each other before eating|Wagenu walisalimiana kabla ya kula
he wanted Africa to be his second homeland, where he would be safe during his childhood and would grow up to be more and more African|alitaka Afrika iwe bara lake la pili, ambapo asalimike utotoni na azidi kuwa Mwafrika [<a href="http://www.alfagems.com/PFDA/katiba.htm" target="_blank">Utawa wa Ndugu Wadogo wa Afrika</a>]
all the travellers arrived safely|Wasafiri walifika salimini wote
Amina made the house safe because of the thieves|Amina alisalimisha nyumba dhidi ya wezi
she started to make preparations for the time she would hand herself over to that young man|akaanza kuiandalia saa atakayojisalimisha kwa yule kijana [Sul]
the grandmother was greeted by the woman (mother)|Nyanya alisalimiwa na mama
the leader was saluted by the soldier(s)|Kiongozi alisalimiwa na askari
give up the ghost or spirit (die)|salimu roho.
hand over the spirit (die)|salimu roho.
We who are about to die salute you.|Sisi tutakaokufa sasa hivi tunakusalimu.
the priest led the noon prayers|Mchungaji alisalisha adhuhuri
the visitor is the one who alienated us|mgeni ndiye aliyetusaliti.
the betray his manhood|kuusaliti uanaume wake [Muk]
If you mix two kinds of this sand, you will get good sand|ukisaliti jinsi mbili za mchanga huu utapata mchanga mzuri.
if you mix two kinds of this sand, you will get good sand|ukisaliti jinsi mbili za mchanga huu utapata mchanga mzuri.
the visitor is the one who set us at variance|mgeni ndiye aliyetusaliti.
take greetings|pokea saluti.
take a salute|pokea saluti.
the President received a welcome from the city police/soldiers|Rais alipokea saluti kutoka kwa wanajeshi wa mjini
(s)he quickly climbed into the wooden bed|aliparamia kitanda cha samadari [Sul]
manure is good for farming|Samadi ya choo ni nzuri kwa ukulima
manure|samadi ya nyasi
excuse me for not seeing you|Samahani kwa kutokuona
forgive me for being late|Samahani kwa kuchelewa
One bad fish infects all the rest (proverb).|Samaki mmoja akioza, wote wameoza
stone mason's tools|samani za mwashi.
he has azure eyes|ana macho rangi ya samawati
sky blue color|rangi ya samawati
the animals scattered in the park because of fearing the liion|Wanyama walisambaa mbugani kwa kumwogopa simba
father and brother walked alongside each other|Baba na ndugu walitembea sambamba
parallell lines|mistari iliyo sambamba.
simultaneous lines|mistari iliyo sambamba.
the house disintegrated because of being hit by the rains|Nyumba ilisambaratika kwa kupigwa na mvua
the padre spread the hands|Padri alisambaza mikono [Kez]
pastry is made of minced meat, onions and pepper|Sambusa hutengenezwa na nyama ya kusaga, vitunguu, na pilpili
forgive mistakes|samehe makosa.
I have looked for it and I did not find it, so I have given up|nimeitafuta sikuiona, kwa hiyo nimeisamehe.
pardon mistakes|samehe makosa.
the sobbing of the mother of the deceased that is forgivable|kwikwi ya mama wa marehemu ambayo inasameheka [Sul]
(s)he was pardoned because of his/her old age|Alisamehewa kwa uzee wake
clarified butter is forty cents|samli ni senti arobaini [Ya]
(s)he cooked pancake-shaped bread with ghee|Alipika chapati na samli
give me his/her sample to see|Nipe sampuli yake nione
I like him/her a great deal|Ninampenda sana
at the most, (s)he arrives home five minutes earlier|Sana, yeye hufika nyumbani dakika tano mapema
I like coffee very much.|Ninapenda kahawa sana.
artwork|sanaa za kuchora
senna is a medicine for stomach upset|Sanamaki ni dawa ya tumbo chafu
the figure of Vasco de Gama|sanamu ya Vasco de Gama
idol worship|ibada ya sanamu.
image of worship|ibada ya sanamu
(s)he looked at the statute of Jesus|aliitazama sanamu ya Yesu [Kez]
the corpse was covered with the burial cloth after it was washed|maiti alifunikwa sanda baada ya kuoshwa
a dead person is not asked for a shroud (proverb)|maiti haulizwi sanda (methali)
sandalwood oil|mafuta ya sandali
ballot box|sanduku la kupiga kura.
suitcase|sanduku ya nguo
(s)he turned to the chest and removed the cloth of Luciana|analigeukia sanduku na kutoa nguo ya Luciana [Muk]
(s)he received the letters from the post office box|Alizipata barua kwa Sanduku la Posta
(s)he was amazed on seeing the lion in the forest|alisangaa alipomwona simba msituni
(s)he surprised everybody for jumping through the window|Alisangaza watu wote kwa kuruka kutoka dirishani
(s)he spoke standard Kiswahili|Anazungumza Kiswahili sanifu
a standard cook|mpishi sanifu
an artful job|kazi sanifu
a skillful worker|mfanyakazi alisanifu
(s)he produced a work of art|Alisanii choro
the soldiers stood in a single file in front of the President|Wanajeshi walisimama sanjari mbele ya rais
the soldiers are moving in a column/line|wanajeshi wanatembea sanjari
(s)he chose slippers of two shillings|akachagua [...] sapatu za shilingi mbili [Sul]
long flowing beard|sharafa la ndevu or ndevu za sharafa.
the exchange rate of the dollar is high in the market|sarafu ya dola iko juu katika soko la biashara
the children went to see the circus and to be happy|Watoto walikwenda kuona sarakasi na kufurahi
sirloin meat|nyama ya sarara
The US and Brazilian teams drew|Timu ya USA na Brazili walikwenda sare
Sari is a traditional dressing of Indian women|Sari ni vaazi la mila ya kihindi la wanawake
to speak correctly|kusarifu maneno kwa uzuri
to write grammatically|kusarifu mwandiko kwa uzuri
to write with style|kusarifu mwandiko kwa uzuri
the mason is mixing concrete for construction|Fundi anakoroga saruji ya kujengea
the house was put a mixture of concrete to make it ash-colored|[nyumba ya Idi] ilitiwa saruji ya kumichia ya kijivu [Sul]
(s)he dresses in fashion|Anavaa kisasa
modern dressing|vaazi la kisasa
everything is upto date|kila kitu kiko sasa
I want to eat now|Ninataka kula sasa
nowadays|sasa hivi.
at present|sasa hivi.
what are we going to do now?|Sasa, tutafanya nini?
I am coming right now|Naja sasa hivi
John will arrive right now|John atafika sasa hivi
there is a possibility (s)he will arrive today|Kuna satua atafika leo
during Ramadhani, the Muslims fast|Ramadhani waislamu hufanya saumu
(s)he is fasting|Anasaumu
Voice of America|Sauti ya Amerika
talk in a loud voice|sema kwa sauti kuba
increase the volume of the radio|ongeza sauti ya redio
lower the volume of the radio|punguza sauti ya redio
all people are equal|Watu wote ni sawa
these children look alike|Watoto hawa wanafanana sawa
it is fair to help him/her|Ni sawa kumsaidia
